"SourceProcedureId","FileId","FileName","FilePath","BucketName","ComponentName","Downloaded","LocalFile","Note"
"019f2209-6152-70aa-8a03-a2902483a540","","Mẫu số 11.docx","configuring/019f4b3e-a975-731e-9b37-9b3e74ee6c9b/Mẫu số 11.docx","dvc","Hồ sơ kê khai xác định nghĩa vụ tài chính: Tờ khai lệ phí trước bạ, tờ khai thuế phi nông nghiệp, tờ khai thuế thu nhập từ chuyển nhượng bất động sản theo mẫu do Bộ Tài chính quy định; Hóa đơn giá trị gia tăng đối với trường hợp tổ chức chuyển nhượng bất động sản; Văn bản đề nghị miễn, giảm tiền thuê đất, tiền sử dụng đất theo Mẫu số 11 ban hành kèm theo Quyết định này, giấy tờ chứng minh thuộc đối tượng được miễn, giảm nghĩa vụ tài chính theo quy định (nếu có)","False","",""
"019e4500-3adb-735c-a722-b7359babf7e4","","Mau so 05 TT 08 2026.docx","configuring/019e6cb8-57c1-74aa-9586-c9a915a6c3fb/Mau so 05 TT 08 2026.docx","dvc","Giấy tờ chứng minh đối tượng, điều kiện được hưởng chính sách hỗ trợ  về nhà ở xã hội.","False","",""
"019d2bfa-9e1f-759a-a302-7388633cac66","","Mau don de nghi cap, gia han giay phep.docx","configuring/019d84a4-7271-75fe-be7d-ed921e4ab400/Mau don de nghi cap, gia han giay phep.docx","dvc","- Đơn đề nghị cấp giấy phép theo mẫu đơn (quy định tại Phụ lục III ban hành kèm theo Nghị định số 40/2026/NĐ-CP ngày 25/01/2026);","False","",""
"019dfd1d-7921-76d7-9c82-0a209d411f39","","Mẫu 1.4. BCTT Cá nhân.docx","configuring/019dfd1b-d437-74ec-9f01-9cd47d4ee727/Mẫu 1.4. BCTT Cá nhân.docx","dvc","-	Tờ trình đề nghị xét tặng danh hiệu Chiến sĩ thi đua Bộ Xây dựng; -	Báo cáo thành tích cá nhân; -	Biên bản bình xét thi đua và kết quả bỏ phiếu của tập thể cơ quan, đơn vị hoặc Hội đồng Thi đua - Khen thưởng các cấp; -	Quyết định hoặc xác nhận Bộ trưởng về sáng kiến đã được áp dụng hiệu quả và có khả năng nhân rộng trong phạm vi Bộ Xây dựng hoặc có đề tài khoa học, đề án khoa học, công trình khoa học và công nghệ đã được nghiệm thu và áp dụng hiệu quả, có phạm vi ảnh hưởng trong Bộ Xây dựng. b)	Số lượng hồ sơ: 01 bộ.","False","",""
"019df263-0468-75b4-ac40-ce151c3de74c","","Mun.docx","configuring/019df262-e763-707f-96af-de59e9bd064d/Mun.docx","dvc","(1) Đơn đề nghị hỗ trợ. (theo mẫu)","False","",""
"019d2bfe-22d1-71cc-bb0b-af18b91e9ce5","","Mẫu đơn xin cấp lại (gia hạn) Giấy chứng nhận đủ điều kiện hoạt động kiểm định kỹ thuật an toàn lao động.docx","configuring/019dab78-21a8-77f6-8064-016c84ff5dbc/Mẫu đơn xin cấp lại (gia hạn) Giấy chứng nhận đủ điều kiện hoạt động kiểm định kỹ thuật an toàn lao động.docx","dvc","+ Đơn đề nghị cấp lại Giấy chứng nhận","False","",""
"019d2bfe-9888-74df-b262-aa3d2f80a79d","","Van ban de nghi bo nhiem và cap the giam dinh vien tu phap xay dung (1).docx","configuring/019da016-c768-7628-96d1-4d82ddda76db/Van ban de nghi bo nhiem và cap the giam dinh vien tu phap xay dung (1).docx","dvc","- Văn bản đề nghị bổ nhiệm, cấp thẻ giám định viên tư pháp xây dựng hoặc đơn đề nghị bổ nhiệm giám định viên tư pháp của cá nhân đã là giám định viên tư pháp nhưng bị miễn nhiệm do nghỉ hưu hoặc thôi việc để thành lập Văn phòng giám định tư pháp (theo mẫu số 02 kèm theo  Thông tư số 17/2021/TT-BXD)","False","",""
"019f49f7-b529-757c-ab2c-e6bfa0e5ce00","","mẫu số 28.docx","configuring/019f5a73-9ea7-74da-afbd-e5a18c065797/mẫu số 28.docx","dvc","Bản vẽ tách thửa đất, hợp thửa đất theo Mẫu số 28 ban hành kèm theo Quyết định số 47/2026/QĐ-UBND đối với trường hợp đăng ký biến động đất đai mà phải tách thửa đất, hợp thửa đất","False","",""
"019f49f7-b529-757c-ab2c-e6bfa0e5ce00","","mẫu số 24.docx","configuring/019f5a6f-f65e-73ee-99dd-9694cd500180/mẫu số 24.docx","dvc","Đơn đăng ký biến động đất đai, tài sản gắn liền với đất theo Mẫu số 24 ban hành kèm theo Quyết định số 47/2026/QĐ-UBND","False","",""
"019f4a07-c468-760b-964c-e6b117200151","","mẫu số 24.docx","configuring/019f5ab1-51d4-7599-8805-94e368a00263/mẫu số 24.docx","dvc","Đơn đăng ký biến động đất đai, tài sản gắn liền với đất theo Mẫu số 24 ban hành kèm theo Quyết định số 47/2026/QĐ-UBND","False","",""
